country;country_clean;region;is_developed;year;month;quarter;date;period;season;year_category;energy_source;energy_source_clean;source_category;energy_type;electricity_production_gwh;share_of_total;is_renewable;is_fossil;energy_intensity_category;is_outlier;is_negative;is_zero
Australia;Australia;Oceania;True;2011;1;1;1/1/2011;2010-2014;Winter;Early 2010s;Hydro;Hydro;Renewable;Clean Energy;13.997.977;0.0585348692976001;True;False;High;False;False;False
Australia;Australia;Oceania;True;2011;1;1;1/1/2011;2010-2014;Winter;Early 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;44.615.347;0.1864529966764212;False;True;High;False;False;False
Australia;Australia;Oceania;True;2011;1;1;1/1/2011;2010-2014;Winter;Early 2010s;Oil;Oil;Fossil Fuel;Conventional;5.340.405;0.0202931079523422;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2011;1;1;1/1/2011;2010-2014;Winter;Early 2010s;Solar;Solar;Renewable;Clean Energy;1.875.002;0.0079035357281096;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2011;1;1;1/1/2011;2010-2014;Winter;Early 2010s;Wind;Wind;Renewable;Clean Energy;6.787.749;0.0286074376840304;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Coal;Coal;Fossil Fuel;Conventional;153.868.902;0.6507660649596528;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.996;4,22E+10;True;False;Low;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Hydro;Hydro;Renewable;Clean Energy;16.664.078;0.0706334079280028;True;False;High;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;48.105.378;0.2036289495846746;False;True;High;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Oil;Oil;Fossil Fuel;Conventional;4.657.953;0.0190823980291456;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Solar;Solar;Renewable;Clean Energy;29.208.540.000.000.000;0.0123956985139958;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2012;1;1;1/1/2012;2010-2014;Winter;Early 2010s;Wind;Wind;Renewable;Clean Energy;7.388.844;0.0311877218278112;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Coal;Coal;Fossil Fuel;Conventional;145.139.331;0.6292018789783149;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.996;4,33E+09;True;False;Low;False;False;False
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Hydro;Hydro;Renewable;Clean Energy;19.259.803;0.0839163446584862;True;False;High;False;False;False
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;46.127.382;0.1996378756828365;False;True;High;False;False;False
